dataset,method,estimated_ate,true_ate,bias,absolute_bias,relative_error_pct,run,confounding_strength
simulation,Naive,0.1774230612413958,0.0340532815587653,0.1433697796826304,0.1433697796826304,421.01604638372,0,1.0
simulation,OLS,0.0419957964576358,0.0340532815587653,0.0079425148988704,0.0079425148988704,23.32378712214305,0,1.0
simulation,IPW,0.0430155243372637,0.0340532815587653,0.0089622427784983,0.0089622427784983,26.318294062298595,0,1.0
simulation,DML,0.0463886941869533,0.0340532815587653,0.0123354126281879,0.0123354126281879,36.22385879874997,0,1.0
simulation,Causal Forest,0.0427270341834019,0.0340532815587653,0.0086737526246365,0.0086737526246365,25.471121218283592,0,1.0
simulation,Naive,0.1733308710824591,0.0339291501362997,0.1394017209461593,0.1394017209461593,410.8612222415134,1,1.0
simulation,OLS,0.0359340411360491,0.0339291501362997,0.0020048909997493,0.0020048909997493,5.909051631695218,1,1.0
simulation,IPW,0.0355448730835386,0.0339291501362997,0.0016157229472388,0.0016157229472388,4.762049567254792,1,1.0
simulation,DML,0.040489870158697,0.0339291501362997,0.0065607200223972,0.0065607200223972,19.336529196993126,1,1.0
simulation,Causal Forest,0.0403917186708557,0.0339291501362997,0.0064625685345559,0.0064625685345559,19.04724553546017,1,1.0
simulation,Naive,0.1691792741612309,0.0339610911489808,0.13521818301225,0.13521818301225,398.1561794321433,2,1.0
simulation,OLS,0.0431430189166868,0.0339610911489808,0.0091819277677059,0.0091819277677059,27.03661000592281,2,1.0
simulation,IPW,0.0474736814087561,0.0339610911489808,0.0135125902597752,0.0135125902597752,39.78844554934364,2,1.0
simulation,DML,0.0414266596251216,0.0339610911489808,0.0074655684761407,0.0074655684761407,21.98271087165816,2,1.0
simulation,Causal Forest,0.0389675832934945,0.0339610911489808,0.0050064921445136,0.0050064921445136,14.74184714075043,2,1.0
simulation,Naive,0.171127963445308,0.0340236559430393,0.1371043075022687,0.1371043075022687,402.96759328803984,3,1.0
simulation,OLS,0.042432686300724,0.0340236559430393,0.0084090303576846,0.0084090303576846,24.715246273835596,3,1.0
simulation,IPW,0.0447912612887701,0.0340236559430393,0.0107676053457308,0.0107676053457308,31.647408390672005,3,1.0
simulation,DML,0.047306398857685,0.0340236559430393,0.0132827429146457,0.0132827429146457,39.03972852559716,3,1.0
simulation,Causal Forest,0.0443823352146035,0.0340236559430393,0.0103586792715642,0.0103586792715642,30.445520872025572,3,1.0
simulation,Naive,0.1760864116049719,0.0339198689068077,0.1421665426981642,0.1421665426981642,419.1246820226688,4,1.0
simulation,OLS,0.0421376018405811,0.0339198689068077,0.0082177329337733,0.0082177329337733,24.22690062968977,4,1.0
simulation,IPW,0.0445907080535071,0.0339198689068077,0.0106708391466993,0.0106708391466993,31.458963405833632,4,1.0
simulation,DML,0.0478863964552828,0.0339198689068077,0.013966527548475,0.013966527548475,41.17506346161613,4,1.0
simulation,Causal Forest,0.0451476106055297,0.0339198689068077,0.0112277416987219,0.0112277416987219,33.10078152002675,4,1.0
simulation,Naive,0.1708049848250866,0.0340311303009184,0.1367738545241681,0.1367738545241681,401.9080568724944,5,1.0
simulation,OLS,0.040321377179945,0.0340311303009184,0.0062902468790265,0.0062902468790265,18.48380239917216,5,1.0
simulation,IPW,0.0439312543684584,0.0340311303009184,0.0099001240675399,0.0099001240675399,29.091375984278475,5,1.0
simulation,DML,0.0432372151328786,0.0340311303009184,0.0092060848319601,0.0092060848319601,27.051951406126847,5,1.0
simulation,Causal Forest,0.0412082111082006,0.0340311303009184,0.0071770808072822,0.0071770808072822,21.08975148289005,5,1.0
simulation,Naive,0.1672062567345942,0.034000949951899,0.1332053067826952,0.1332053067826952,391.7693681239492,6,1.0
simulation,OLS,0.0393757403396285,0.034000949951899,0.0053747903877294,0.0053747903877294,15.807765357536066,6,1.0
simulation,IPW,0.0425437891113959,0.034000949951899,0.0085428391594968,0.0085428391594968,25.12529553316125,6,1.0
simulation,DML,0.0453725490019616,0.034000949951899,0.0113715990500626,0.0113715990500626,33.44494511520983,6,1.0
simulation,Causal Forest,0.0400458634088525,0.034000949951899,0.0060449134569534,0.0060449134569534,17.77866049479539,6,1.0
simulation,Naive,0.1621576942224701,0.0340066919022207,0.1281510023202493,0.1281510023202493,376.8405427047161,7,1.0
simulation,OLS,0.0351434336401832,0.0340066919022207,0.0011367417379625,0.0011367417379625,3.342700140404725,7,1.0
simulation,IPW,0.0342121668019451,0.0340066919022207,0.0002054748997243,0.0002054748997243,0.6042190175839017,7,1.0
simulation,DML,0.0392133737674975,0.0340066919022207,0.0052066818652767,0.0052066818652767,15.310756718846696,7,1.0
simulation,Causal Forest,0.0377050609748269,0.0340066919022207,0.0036983690726062,0.0036983690726062,10.875415589496782,7,1.0
semi_synthetic,Naive,0.1120196816981441,0.0365582212857121,0.075461460412432,0.075461460412432,206.41447466133732,0,1.0
semi_synthetic,OLS,0.0966532184065279,0.0365582212857121,0.0600949971208157,0.0600949971208157,164.381621991829,0,1.0
semi_synthetic,IPW,0.0968014451470545,0.0365582212857121,0.0602432238613424,0.0602432238613424,164.7870759097541,0,1.0
semi_synthetic,DML,0.0995182695434976,0.0365582212857121,0.0629600482577854,0.0629600482577854,172.21857640648315,0,1.0
semi_synthetic,Causal Forest,0.0961072056681773,0.0365582212857121,0.0595489843824651,0.0595489843824651,162.88807903719956,0,1.0
semi_synthetic,Naive,0.110481517457224,0.0364213950596988,0.0740601223975251,0.0740601223975251,203.34235488819704,1,1.0
semi_synthetic,OLS,0.0931915325660728,0.0364213950596988,0.056770137506374,0.056770137506374,155.87029934828465,1,1.0
semi_synthetic,IPW,0.0928827191254201,0.0364213950596988,0.0564613240657212,0.0564613240657212,155.0224091448847,1,1.0
semi_synthetic,DML,0.0994832740909903,0.0364213950596988,0.0630618790312914,0.0630618790312914,173.14514978881434,1,1.0
semi_synthetic,Causal Forest,0.0987925931213343,0.0364213950596988,0.0623711980616354,0.0623711980616354,171.24878923336644,1,1.0
semi_synthetic,Naive,0.1084998468187685,0.0365288404190107,0.0719710063997578,0.0719710063997578,197.02516032318923,2,1.0
semi_synthetic,OLS,0.0885547666264634,0.0365288404190107,0.0520259262074527,0.0520259262074527,142.42424782905746,2,1.0
semi_synthetic,IPW,0.0882761113752515,0.0365288404190107,0.0517472709562408,0.0517472709562408,141.66141153856594,2,1.0
semi_synthetic,DML,0.0966546564224921,0.0365288404190107,0.0601258160034813,0.0601258160034813,164.59820600324906,2,1.0
semi_synthetic,Causal Forest,0.0938147125734895,0.0365288404190107,0.0572858721544788,0.0572858721544788,156.8236809528329,2,1.0
semi_synthetic,Naive,0.1179967700416785,0.0363147393165001,0.0816820307251784,0.0816820307251784,224.92803820862068,3,1.0
semi_synthetic,OLS,0.0902657451144656,0.0363147393165001,0.0539510057979655,0.0539510057979655,148.5650367134869,3,1.0
semi_synthetic,IPW,0.0913774758042146,0.0363147393165001,0.0550627364877145,0.0550627364877145,151.62641264698803,3,1.0
semi_synthetic,DML,0.0940353711566506,0.0363147393165001,0.0577206318401505,0.0577206318401505,158.9454665696149,3,1.0
semi_synthetic,Causal Forest,0.0910122278551045,0.0363147393165001,0.0546974885386044,0.0546974885386044,150.62062834016209,3,1.0
semi_synthetic,Naive,0.1101535792415867,0.0367664123191243,0.0733871669224623,0.0733871669224623,199.60382940135105,4,1.0
semi_synthetic,OLS,0.0926587719949393,0.0367664123191243,0.0558923596758149,0.0558923596758149,152.02016229019438,4,1.0
semi_synthetic,IPW,0.0930343887599074,0.0367664123191243,0.056267976440783,0.056267976440783,153.04179247186087,4,1.0
semi_synthetic,DML,0.0969759932719783,0.0367664123191243,0.0602095809528539,0.0602095809528539,163.76245914409049,4,1.0
semi_synthetic,Causal Forest,0.0951764128613637,0.0367664123191243,0.0584100005422393,0.0584100005422393,158.86782761193382,4,1.0
semi_synthetic,Naive,0.1183031388092036,0.0365220815061585,0.081781057303045,0.081781057303045,223.92222439253533,5,1.0
semi_synthetic,OLS,0.0982773181906097,0.0365220815061585,0.0617552366844511,0.0617552366844511,169.09013434526602,5,1.0
semi_synthetic,IPW,0.0984406679596755,0.0365220815061585,0.0619185864535169,0.0619185864535169,169.5373973771889,5,1.0
semi_synthetic,DML,0.0973523938024683,0.0365220815061585,0.0608303122963097,0.0608303122963097,166.55762702367366,5,1.0
semi_synthetic,Causal Forest,0.0956079592490079,0.0365220815061585,0.0590858777428493,0.0590858777428493,161.78124385622968,5,1.0
semi_synthetic,Naive,0.1055753933591198,0.0366273171849896,0.0689480761741302,0.0689480761741302,188.242223217992,6,1.0
semi_synthetic,OLS,0.0928387869563395,0.0366273171849896,0.0562114697713498,0.0562114697713498,153.46870612294262,6,1.0
semi_synthetic,IPW,0.0927872829295261,0.0366273171849896,0.0561599657445364,0.0561599657445364,153.32808969025857,6,1.0
semi_synthetic,DML,0.0967007859289439,0.0366273171849896,0.0600734687439542,0.0600734687439542,164.01274611664184,6,1.0
semi_synthetic,Causal Forest,0.0940115097652856,0.0366273171849896,0.0573841925802959,0.0573841925802959,156.67047709356302,6,1.0
semi_synthetic,Naive,0.1085929406311907,0.036589000850503,0.0720039397806876,0.0720039397806876,196.7912162315784,7,1.0
semi_synthetic,OLS,0.0966111208167007,0.036589000850503,0.0600221199661976,0.0600221199661976,164.04416237392917,7,1.0
semi_synthetic,IPW,0.0969731934180576,0.036589000850503,0.0603841925675545,0.0603841925675545,165.0337291643324,7,1.0
semi_synthetic,DML,0.1005520802313273,0.036589000850503,0.0639630793808242,0.0639630793808242,174.81504794888323,7,1.0
semi_synthetic,Causal Forest,0.0999483161050698,0.036589000850503,0.0633593152545667,0.0633593152545667,173.16492328785614,7,1.0
